First year,Position,Name,Trimmed,Dupe,Affiliation,Institution,Type
2013,Trustee,Alan Rappaport,Alan Rappaport,FALSE,GuideStar | NYU Langone Medical Center | Allianz Multi-Fund Complex,American Museum of Natural History,Board
2014,Trustee,Ann Ziff,Ann Ziff,FALSE,Bill and Ann Ziff Foundation,American Museum of Natural History,Board
2014,Trustee,Anna Deavere Smith,Anna Deavere Smith,FALSE,,American Museum of Natural History,Board
2013,Trustee,Anne Sidamon-Eristoff,Anne Sidamon-Eristoff,FALSE,New York Community Trust,American Museum of Natural History,Board
2013,Trustee,Archibald Cox Jr.,Archibald Cox Jr.,FALSE,,American Museum of Natural History,Board
2013,Trustee,Charles E. Phillips Jr.,Charles E. Phillips Jr.,FALSE,Viacom | Jazz at Lincoln Center | New York Law School,American Museum of Natural History,Board
2013,Treasurer,Charles H. Mott,Charles H. Mott,FALSE,,American Museum of Natural History,Board
2013,Trustee,Christine A. Varney,Christine A. Varney,FALSE,American Constitution Society | Third Way | The Brennan Center for Justice | The Legal Aid Society | ID3,American Museum of Natural History,Board
2013,Trustee,Christopher C. Davis,Christopher C. Davis,FALSE,,American Museum of Natural History,Board
2013,Trustee,David H. Koch,David H. Koch,FALSE,"David H. Koch Charitable Foundation | Koch Family Foundations | Koch Industries, Inc. | Lincoln Center | Metropolitan Museum of Art | WNET",American Museum of Natural History,Board
2013,Vice Chairman ,David S. Gottesman,David S. Gottesman,FALSE,The Gottesman Fund,American Museum of Natural History,Board
2013,Trustee,Edwin H. Morgens,Edwin H. Morgens,FALSE,The Wildwood Foundation | Howard Morgens Foundation | Morgens Waterfall Vintiadis & Co.,American Museum of Natural History,Board
2013,President ,Ellen V. Futter,Ellen V. Futter,FALSE,Memorial Sloan Kettering Cancer Center | JP Morgan Chase |,American Museum of Natural History,Board
2013,Vice Chairman ,Fiona Druckenmiller,Fiona Druckenmiller,FALSE,Druckenmiller Foundation,American Museum of Natural History,Board
2013,Trustee,Frank V. Sica,Frank V. Sica,FALSE,Frank V. Sica and Colleen McMahon Foundation,American Museum of Natural History,Board
2013,Trustee,Frederick A. Klingenstein,Frederick A. Klingenstein,FALSE,"Klingenstein Fields Wealth Advisors | Klingenstein, Fields & Co., LLC",American Museum of Natural History,Board
2013,Trustee,Helene D. Gayle,Helene D. Gayle,FALSE,McKinsey Social Initiative,American Museum of Natural History,Board
2013,Trustee,Helene L. Kaplan,Helene L. Kaplan,FALSE,John Simon Guggenheim Memorial Foundation,American Museum of Natural History,Board
2013,Trustee,Ilene Sackler Lefcourt,Ilene Sackler Lefcourt,FALSE,The Sackler Lefcourt Center for Child Development | The Columbia University Department of Psychiatry Board of Advisors | The Hastings Center for Bioethics | Purdue Pharma Company,American Museum of Natural History,Board
2013,Trustee,Irma Milstein,Irma Milstein,FALSE,Paul & Irma Milstein Foundation,American Museum of Natural History,Board
2014,Trustee,Jackie Bezos,Jackie Bezos,FALSE,Bezos Family Foundation,American Museum of Natural History,Board
2013,Trustee,Joseph H. Gleberman,Joseph H. Gleberman,FALSE,The Nature Conservancy,American Museum of Natural History,Board
2013,Trustee,Katheryn P. Kempner,Katheryn P. Kempner,FALSE,,American Museum of Natural History,Board
2014,Trustee,Kenneth L. Wallach,Kenneth L. Wallach,FALSE,Susan S. and Kenneth L. Wallach Foundation,American Museum of Natural History,Board
2014,Trustee,Laura Baudo Sillerman,Laura Baudo Sillerman,FALSE,The Tomorrow Foundation | Harlem Academy,American Museum of Natural History,Board
2013,Chairman ,Lewis W. Bernard,Lewis W. Bernard,FALSE,"Classroom, Inc.",American Museum of Natural History,Board
2013,Vice Chairman ,Linda R. Macaulay,Linda R. Macaulay,FALSE,The Rogosin Institute,American Museum of Natural History,Board
2013,Trustee,Lorne Michaels,Lorne Michaels,FALSE,Saturday Night Live | The Michaels Family Foundation Inc.,American Museum of Natural History,Board
2013,Vice Chairman ,Louis V. Gerstner Jr.,Louis V. Gerstner Jr.,FALSE,Gerstner Family Foundation,American Museum of Natural History,Board
2013,Trustee,Marlene Hess,Marlene Hess,FALSE,New York Stem Cell Foundation | Hess Foundation,American Museum of Natural History,Board
2013,Trustee,Mary C. Solomon,Mary C. Solomon,FALSE,DM Solomon Family Foundation Center,American Museum of Natural History,Board
2013,Trustee,Nancy B. Fessenden,Nancy B. Fessenden,FALSE,,American Museum of Natural History,Board
2013,Trustee,Peter J. Solomon,Peter J. Solomon,FALSE,Peter J. Solomon Company | Peter J. Solomon Foundation,American Museum of Natural History,Board
2014,Trustee,Rebekah Mercer,Rebekah Mercer,FALSE,Mercer Family Foundation,American Museum of Natural History,Board
2013,Trustee,Richard D. Parsons,Richard D. Parsons,FALSE,Partnership for New York City | Museum of Modern Art |Jazz Foundation of America | The Rockefeller Foundation | Parsons Family Foundation,American Museum of Natural History,Board
2013,Trustee,Richard E. Jaffe,Richard E. Jaffe,FALSE,,American Museum of Natural History,Board
2013,Trustee,Richard Gilder,Richard Gilder,FALSE,"Gilder Lehrman Institute of American History | Gilder, Gagnon, Howe & Co | The Gilder Foundation",American Museum of Natural History,Board
2013,Trustee,Richard L. Revesz,Richard L. Revesz,FALSE,NYU School of Law,American Museum of Natural History,Board
2013,Trustee,Richard S. LeFrak,Richard S. LeFrak,FALSE,Prostate Cancer Foundation | Richard S. and Karen LeFrak Charitable Foundation,American Museum of Natural History,Board
2013, Chairman Emeritus,Robert G. Goelet,Robert G. Goelet,FALSE,,American Museum of Natural History,Board
2013,Vice Chairman ,Roberto A. Mignone,Roberto A. Mignone,FALSE,Bridger Management LLC ,American Museum of Natural History,Board
2013,Vice Chairman ,Roger C. Altman,Roger C. Altman,FALSE,Evercore | New York Presbyterian Hospital,American Museum of Natural History,Board
2013,Trustee,Scott L. Bok,Scott L. Bok,FALSE,Greenhill & Co. | Bok Family Foundation,American Museum of Natural History,Board
2014,Trustee,Shaiza Rizavi,Shaiza Rizavi,FALSE,Acumen,American Museum of Natural History,Board
2013,Secretary,Sibyl R. Golden,Sibyl R. Golden,FALSE,Golden Family Foundation,American Museum of Natural History,Board
2013,Trustee,Stephanie Bell-Rose,Stephanie Bell-Rose,FALSE,Knight Foundation | Teacher's Insurance Annuity | John S. and James L. Knight Foundation,American Museum of Natural History,Board
2013,Trustee,Tamsen Ann Ziff,Tamsen Ann Ziff,FALSE,Bill and Ann Ziff Foundation,American Museum of Natural History,Board
2013,Trustee,Theodore A. Mathas,Theodore A. Mathas,FALSE,New York Life Insurance Company | The US Chamber of Commerce | The Partnership for New York City | The Norfolk Collegiate School | Hackley School,American Museum of Natural History,Board
2013,Trustee,Theodore Roosevelt IV,Theodore Roosevelt IV,FALSE,Center for Climate and Energy Solutions | The Wilderness Society | ,American Museum of Natural History,Board
2013,Trustee,Tina Fey,Tina Fey,FALSE,,American Museum of Natural History,Board
2013,Trustee,Tom Brokaw,Tom Brokaw,FALSE,Multiple Myeloma Research Foundation | Brokaw Family Foundation,American Museum of Natural History,Board
2014,Trustee,Valerie S. Peltier,Valerie S. Peltier,FALSE,New York Community Trust | Tishman Speyer |,American Museum of Natural History,Board
2014,Trustee,Victor Marrero,Victor Marrero,FALSE,,American Museum of Natural History,Board
2013,Trustee,Virginia Hearst Randt,Virginia Hearst Randt,FALSE,The Hearst Corporation | Hearst Foundations,American Museum of Natural History,Board
2013,Trustee,Vivian H. Donnelley,Vivian H. Donnelley,FALSE,Strachan and Vivian H. Donnelley Foundation,American Museum of Natural History,Board
2013,Trustee,Walter V. Shipley,Walter V. Shipley,FALSE,Lincoln Center | Goodwill Industries,American Museum of Natural History,Board
2012,DIRECTORS ,"Frank A. Bennack, Jr.","Frank A. Bennack, Jr.",FALSE, Hearst Corporation ,Lincoln Center,Board
2012,DIRECTORS ,Adrienne Arsht ,Adrienne Arsht,FALSE,TotalBank ,Lincoln Center,Board
2012,DIRECTORS ,Alair A. Townsend ,Alair A. Townsend,FALSE,Crain's New York Business ,Lincoln Center,Board
2012,DIRECTORS ,Ann Unterberg ,Ann Unterberg,FALSE,Lincoln Center Education ,Lincoln Center,Board
2012,VICE CHAIRS ,Ann Ziff ,Ann Ziff,FALSE,,Lincoln Center,Board
2013,DIRECTORS ,Anna Nikolayevsky  Benton,Anna Nikolayevsky Benton,FALSE,Axel Capital Management ,Lincoln Center,Board
2012,DIRECTORS ,Audra McDonald ,Audra McDonald,FALSE, ,Lincoln Center,Board
2012,DIRECTORS ,Audrey Butvay Gruss ,Audrey Butvay Gruss,FALSE,The Audrey and Martin Gruss Foundation ,Lincoln Center,Board
2012,DIRECTORS ,Barbara Walters ,Barbara Walters,FALSE,ABC News ,Lincoln Center,Board
2012,DIRECTORS ,Bart Friedman ,Bart Friedman,FALSE,"Cahill Gordon & Reindel, LLP ",Lincoln Center,Board
2013,DIRECTORS ,Bennett J. Goodman ,Bennett J. Goodman,FALSE,GSO Capital Partners ,Lincoln Center,Board
2012,DIRECTORS ,Betty Levin ,Betty Levin,FALSE,Corporate Art Directions ,Lincoln Center,Board
2012,TREASURER ,Blair W. Effron ,Blair W. Effron,FALSE,Founding Partner Centerview Partners LLC ,Lincoln Center,Board
2012,VICE CHAIRS ,Bruce Kovner ,Bruce Kovner,FALSE,Caxton Alternative Management LP ,Lincoln Center,Board
2012,DIRECTORS ,Bryan Lourd ,Bryan Lourd,FALSE,Creative Artists Agency,Lincoln Center,Board
2012,DIRECTORS ,Christina Baker ,Christina Baker,FALSE,,Lincoln Center,Board
2012,DIRECTORS ,Christopher J. Williams ,Christopher J. Williams,FALSE,"The Williams Capital Group, L.P. ",Lincoln Center,Board
2012,DIRECTORS ,Clara Wu Tsai ,Clara Wu Tsai,FALSE,The Joe and Clara Tsai Foundation ,Lincoln Center,Board
2012,DIRECTORS ,Daniel Crown ,Daniel Crown,FALSE,Foray Entertainment and Red Crown Productions ,Lincoln Center,Board
2012,DIRECTORS ,Daniel H. Stern ,Daniel H. Stern,FALSE,Reservoir Capital Group LLC ,Lincoln Center,Board
2012,DIRECTORS ,Daniel S. Och ,Daniel S. Och,FALSE,Och-Ziff Capital Management Group ,Lincoln Center,Board
2012,DIRECTORS ,David A. Hunt ,David A. Hunt,FALSE,Prudential Investment Management ,Lincoln Center,Board
2012,VICE CHAIRS ,David Alan Coulter ,David Alan Coulter,FALSE,Warburg Pincus LLC,Lincoln Center,Board
2012,DIRECTORS ,David H. Koch ,David H. Koch,FALSE,"Koch Industries, Inc. | David H. Koch Charitable Foundation | Koch Family Foundations | American Museum of Natural History | Metropolitan Museum of Art | WNET",Lincoln Center,Board
2012,DIRECTORS ,David M. Rubenstein ,David M. Rubenstein,FALSE,The Carlyle Group ,Lincoln Center,Board
