First year,Position,Name,Trimmed,Affiliation,Institution,Type
2013,Trustee,Alan Rappaport,Alan Rappaport,,American Museum of Natural History,Board
2014,Trustee,Ann Ziff,Ann Ziff,,American Museum of Natural History,Board
2014,Trustee,Anna Deavere Smith,Anna Deavere Smith,,American Museum of Natural History,Board
2013,Trustee,Anne Sidamon-Eristoff,Anne Sidamon-Eristoff,,American Museum of Natural History,Board
2013,Trustee,Archibald Cox Jr.,Archibald Cox Jr.,,American Museum of Natural History,Board
2013,Trustee,Charles E. Phillips Jr.,Charles E. Phillips Jr.,,American Museum of Natural History,Board
2013,Treasurer,Charles H. Mott,Charles H. Mott,,American Museum of Natural History,Board
2013,Trustee,Christine A. Varney,Christine A. Varney,,American Museum of Natural History,Board
2013,Trustee,Christopher C. Davis,Christopher C. Davis,,American Museum of Natural History,Board
2013,Trustee,David H. Koch,David H. Koch,,American Museum of Natural History,Board
2013,Vice Chairman ,David S. Gottesman,David S. Gottesman,,American Museum of Natural History,Board
2013,Trustee,Edwin H. Morgens,Edwin H. Morgens,,American Museum of Natural History,Board
2013,President ,Ellen V. Futter,Ellen V. Futter,,American Museum of Natural History,Board
2013,Vice Chairman ,Fiona Druckenmiller,Fiona Druckenmiller,,American Museum of Natural History,Board
2013,Trustee,Frank V. Sica,Frank V. Sica,,American Museum of Natural History,Board
2013,Trustee,Frederick A. Klingenstein,Frederick A. Klingenstein,,American Museum of Natural History,Board
2013,Trustee,Helene D. Gayle,Helene D. Gayle,,American Museum of Natural History,Board
2013,Trustee,Helene L. Kaplan,Helene L. Kaplan,,American Museum of Natural History,Board
2013,Trustee,Ilene Sackler Lefcourt,Ilene Sackler Lefcourt,,American Museum of Natural History,Board
2013,Trustee,Irma Milstein,Irma Milstein,,American Museum of Natural History,Board
2014,Trustee,Jackie Bezos,Jackie Bezos,,American Museum of Natural History,Board
2013,Trustee,Joseph H. Gleberman,Joseph H. Gleberman,,American Museum of Natural History,Board
2013,Trustee,Katheryn P. Kempner,Katheryn P. Kempner,,American Museum of Natural History,Board
2014,Trustee,Kenneth L. Wallach,Kenneth L. Wallach,,American Museum of Natural History,Board
2014,Trustee,Laura Baudo Sillerman,Laura Baudo Sillerman,,American Museum of Natural History,Board
2013,Chairman ,Lewis W. Bernard,Lewis W. Bernard,,American Museum of Natural History,Board
2013,Vice Chairman ,Linda R. Macaulay,Linda R. Macaulay,,American Museum of Natural History,Board
2013,Trustee,Lorne Michaels,Lorne Michaels,,American Museum of Natural History,Board
2013,Vice Chairman ,Louis V. Gerstner Jr.,Louis V. Gerstner Jr.,,American Museum of Natural History,Board
2013,Trustee,Marlene Hess,Marlene Hess,,American Museum of Natural History,Board
2013,Trustee,Mary C. Solomon,Mary C. Solomon,,American Museum of Natural History,Board
2013,Trustee,Nancy B. Fessenden,Nancy B. Fessenden,,American Museum of Natural History,Board
2013,Trustee,Peter J. Solomon,Peter J. Solomon,,American Museum of Natural History,Board
2014,Trustee,Rebekah Mercer,Rebekah Mercer,,American Museum of Natural History,Board
2013,Trustee,Richard D. Parsons,Richard D. Parsons,,American Museum of Natural History,Board
2013,Trustee,Richard E. Jaffe,Richard E. Jaffe,,American Museum of Natural History,Board
2013,Trustee,Richard Gilder,Richard Gilder,,American Museum of Natural History,Board
2013,Trustee,Richard L. Revesz,Richard L. Revesz,,American Museum of Natural History,Board
2013,Trustee,Richard S. LeFrak,Richard S. LeFrak,,American Museum of Natural History,Board
2013, Chairman Emeritus,Robert G. Goelet,Robert G. Goelet,,American Museum of Natural History,Board
2013,Vice Chairman ,Roberto A. Mignone,Roberto A. Mignone,,American Museum of Natural History,Board
2013,Vice Chairman ,Roger C. Altman,Roger C. Altman,,American Museum of Natural History,Board
