give,take
lincoln center,10
metropolitan museum of art,1
wnet,1
metropolitan opera,1
cooper hewitt,8
american museum of natural history,8
lincoln center,8
metropolitan opera,8
cooper hewitt,8
american museum of natural history,8
lincoln center,8
metropolitan opera,8
metropolitan museum of art,8
cooper hewitt,8
american museum of natural history,8
lincoln center,8
metropolitan opera,8
brooklyn public library,8
museum of arts and design,2
9/11 memorial,2
new york public library,2
american museum of natural history,2
metropolitan museum of art,2
wnet,2
metropolitan opera,2
carnegie hall,2
carnegie hall,2
museum of modern art,2
brooklyn public library,2
museum of arts and design,2
9/11 memorial,2
new york public library,2
american museum of natural history,2
metropolitan museum of art,2
wnet,2
american museum of natural history,2
metropolitan opera,2
carnegie hall,2
metropolitan opera,2
carnegie hall,2
carnegie hall,2
museum of modern art,2
brooklyn public library,2
museum of arts and design,4
9/11 memorial,4
new york public library,4
metropolitan opera,4
carnegie hall,4
wnet,4
wnet,4
brooklyn public library,4
museum of arts and design,4
9/11 memorial,4
new york public library,4
metropolitan opera,4
carnegie hall,4
wnet,4
new york philharmonic,4
lincoln center,4
wnet,4
lincoln center,4
metropolitan museum of art,3
carnegie hall,3
wnet,3
carnegie hall,3
carnegie hall,3
american museum of natural history,3
lincoln center,3
carnegie hall,3
lincoln center,3
metropolitan museum of art,3
carnegie hall,3
wnet,3
carnegie hall,3
carnegie hall,3
american museum of natural history,3
lincoln center,3
carnegie hall,3
american museum of natural history,3
american museum of natural history,4
american museum of natural history,4
american museum of natural history,8
american museum of natural history,8
lincoln center,8
lincoln center,4
lincoln center,4
lincoln center,19
metropolitan opera,19
metropolitan opera,1
metropolitan opera,4
metropolitan opera,4
metropolitan opera,8
metropolitan opera,4
metropolitan opera,4
metropolitan opera,7
metropolitan opera,7
metropolitan opera,10
metropolitan opera,10
metropolitan opera,10
metropolitan museum of art,10
metropolitan museum of art,2
metropolitan museum of art,2
metropolitan museum of art,10
metropolitan museum of art,10
metropolitan museum of art,10
metropolitan museum of art,10
metropolitan museum of art,14
metropolitan museum of art,21
metropolitan museum of art,2
metropolitan museum of art,2
metropolitan museum of art,7
metropolitan museum of art,8
metropolitan museum of art,7
metropolitan museum of art,7
metropolitan museum of art,10
metropolitan museum of art,10
metropolitan museum of art,10
metropolitan museum of art,10
metropolitan museum of art,16
metropolitan museum of art,16
metropolitan museum of art,11
metropolitan museum of art,2
metropolitan museum of art,2
metropolitan museum of art,10
metropolitan museum of art,10
metropolitan museum of art,10
moma ps1,10
moma ps1,4
carnegie hall,4
carnegie hall,2
carnegie hall,2
carnegie hall,2
carnegie hall,2
carnegie hall,2
carnegie hall,2
carnegie hall,10
carnegie hall,10
carnegie hall,10
carnegie hall,10
carnegie hall,4
carnegie hall,4
carnegie hall,7
carnegie hall,7
carnegie hall,10
carnegie hall,10
carnegie hall,10
carnegie hall,10
carnegie hall,10
wnet,10
wnet,8
wnet,4
wnet,4
wnet,7
wnet,7
wnet,4
morgan museum and library,4
morgan museum and library,16
wnyc,16
wnyc,2
wnyc,2
wnyc,11
wnyc,11
9/11 memorial,3
9/11 memorial,8
9/11 memorial,2
9/11 memorial,2
9/11 memorial,2
9/11 memorial,2
9/11 memorial,10
9/11 memorial,10
9/11 memorial,10
9/11 memorial,10
9/11 memorial,2
9/11 memorial,2
9/11 memorial,2
9/11 memorial,2
9/11 memorial,10
9/11 memorial,10
9/11 memorial,10
9/11 memorial,10
9/11 memorial,16
9/11 memorial,19
9/11 memorial,8
9/11 memorial,8
9/11 memorial,1
9/11 memorial,8
9/11 memorial,2
9/11 memorial,2
9/11 memorial,4
9/11 memorial,4
9/11 memorial,3
9/11 memorial,3
9/11 memorial,7
9/11 memorial,7
9/11 memorial,8
9/11 memorial,2
9/11 memorial,2
9/11 memorial,11
9/11 memorial,2
9/11 memorial,2
9/11 memorial,10
9/11 memorial,10
9/11 memorial,10
