SOURCE TYPE,Source,Source Name,EDGE TYPE,TARGET TYPE,Target,Target Name, Weight
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,31,"Alan Rappaport",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,32,"Ann Ziff",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,33,"Anna Deavere Smith",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,34,"Anne Sidamon-Eristoff",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,35,"Archibald Cox Jr.",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,36,"Charles E. Phillips Jr.",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,37,"Charles H. Mott",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,38,"Christine A. Varney",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,39,"Christopher C. Davis",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,40,"David H. Koch",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,41,"David S. Gottesman",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,42,"Edwin H. Morgens",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,43,"Ellen V. Futter",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,44,"Fiona Druckenmiller",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,45,"Frank V. Sica",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,46,"Frederick A. Klingenstein",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,47,"Helene D. Gayle",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,48,"Helene L. Kaplan",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,49,"Ilene Sackler Lefcourt",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,50,"Irma Milstein",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,51,"Jackie Bezos",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,52,"Joseph H. Gleberman",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,53,"Katheryn P. Kempner",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,54,"Kenneth L. Wallach",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,55,"Laura Baudo Sillerman",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,56,"Lewis W. Bernard",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,57,"Linda R. Macaulay",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,58,"Lorne Michaels",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,59,"Louis V. Gerstner Jr.",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,60,"Marlene Hess",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,61,"Mary C. Solomon",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,62,"Nancy B. Fessenden",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,63,"Peter J. Solomon",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,64,"Rebekah Mercer",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,65,"Richard D. Parsons",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,66,"Richard E. Jaffe",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,67,"Richard Gilder",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,68,"Richard L. Revesz",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,69,"Richard S. LeFrak",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,70,"Robert G. Goelet",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,71,"Roberto A. Mignone",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,72,"Roger C. Altman",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,73,"Scott L. Bok",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,74,"Shaiza Rizavi",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,75,"Sibyl R. Golden",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,76,"Stephanie Bell-Rose",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,77,"Tamsen Ann Ziff",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,78,"Theodore A. Mathas",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,79,"Theodore Roosevelt IV",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,80,"Tina Fey",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,81,"Tom Brokaw",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,82,"Valerie S. Peltier",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,83,"Victor Marrero",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,84,"Virginia Hearst Randt",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,85,"Vivian H. Donnelley",1
INSTITUTION,1,"American Museum of Natural History",Board Member Of,BOARD MEMBER,86,"Walter V. Shipley",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,87,"\�Frank A. Bennack, Jr.",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,88,"Adrienne Arsht",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,89,"Alair A. Townsend",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,90,"Ann Unterberg",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,91,"Ann Ziff",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,92,"Anna Nikolayevsky  Benton",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,93,"Audra McDonald",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,94,"Audrey Butvay Gruss",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,95,"Barbara Walters",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,96,"Bart Friedman",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,97,"Bennett J. Goodman",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,98,"Betty Levin",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,99,"Blair W. Effron",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,100,"Bruce Kovner",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,101,"Bryan Lourd",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,102,"Christina Baker",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,103,"Christopher J. Williams",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,104,"Clara Wu Tsai",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,105,"Daniel Crown",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,106,"Daniel H. Stern",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,107,"Daniel S. Och",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,108,"David A. Hunt",1
INSTITUTION,2,"Lincoln Center",Board Member Of,BOARD MEMBER,109,"David Alan Coulter",1
