TYPE,Name,ID,Institution,Amount,Year,amount_lb,amount_ub
DONOR,"Anonymous",1,92Y,"$500,000 and above",2013,500000,-
DONOR,"Himan Brown Charitable Trust",2,92Y,"$500,000 and above",2013,500000,-
DONOR,"Margot Friedlander",3,92Y,"$500,000 and above",2013,500000,-
DONOR,"Daphne Recanati Kaplan and Thomas S Kaplan",4,92Y,"$500,000 and above",2013,500000,-
DONOR,"Phyllis and William Mack",5,92Y,"$500,000 and above",2013,500000,-
DONOR,"Cheryl and Philip L Milstein",6,92Y,"$500,000 and above",2013,500000,-
DONOR,"Jenny and John Paulson",7,92Y,"$500,000 and above",2013,500000,-
DONOR,"Carolyn and Curtis Schenker",8,92Y,"$500,000 and above",2013,500000,-
DONOR,"Elizabeth and Oliver Stanton",9,92Y,"$500,000 and above",2013,500000,-
DONOR,"The Joan H and Preston Robert Tisch Foundation",10,92Y,"$500,000 and above",2013,500000,-
DONOR,"UJAFederation of New York",11,92Y,"$500,000 and above",2013,500000,-
DONOR,"Anonymous",12,92Y,"$500,000 and above",2014,500000,-
DONOR,"Margot Friedlander",13,92Y,"$500,000 and above",2014,500000,-
DONOR,"Himan Brown Charitable Trust",14,92Y,"$500,000 and above",2014,500000,-
DONOR,"Daphne Recanati Kaplan and Thomas S. Kaplan",15,92Y,"$500,000 and above",2014,500000,-
DONOR,"Jenny and John Paulson",16,92Y,"$500,000 and above",2014,500000,-
DONOR,"The Joan H. and Preston Robert Tisch Foundation",17,92Y,"$500,000 and above",2014,500000,-
DONOR,"UJA-Federation of New York",18,92Y,"$500,000 and above",2014,500000,-
DONOR,"Dr. Kathryn W. Davis",19,American Museum of Natural History,"$1,000,000",2013,1000000,1000000
DONOR,"David S. and Ruth L. Gottesman, The Gottesman Fund",20,American Museum of Natural History,"$1,000,000",2013,1000000,1000000
DONOR,"Mr. Richard S. LeFrak",21,American Museum of Natural History,"$1,000,000",2013,1000000,1000000
DONOR,"The Richard S. and Karen LeFrak Charitable Foundation",22,American Museum of Natural History,"$1,000,000",2013,1000000,1000000
DONOR,"Susan S. and Kenneth L. Wallach Foundation",23,American Museum of Natural History,"$1,000,000",2013,1000000,1000000
DONOR,"William Randolph Hearst Foundation",24,American Museum of Natural History,"$500,000",2013,500000,500000
DONOR,"Frederick and Sharon Klingenstein Fund",25,American Museum of Natural History,"$500,000",2013,500000,500000
DONOR,"The Andrew W. Mellon Foundation",26,American Museum of Natural History,"$500,000",2013,500000,500000
DONOR,"Allison and Roberto Mignone",27,American Museum of Natural History,"$500,000",2013,500000,500000
DONOR,"Stavros Niarchos Foundation",28,American Museum of Natural History,"$500,000",2013,500000,500000
DONOR,"Virginia Hearst Randt and Dana Randt",29,American Museum of Natural History,"$500,000",2013,500000,500000
DONOR,"Christopher R. Redlich, Jr.",30,American Museum of Natural History,"$500,000",2013,500000,500000
DONOR,"Dr. and Mrs. James H. Simons",31,American Museum of Natural History,"$500,000",2013,500000,500000
DONOR,"Mr. Richard S. LeFrak,",32,American Museum of Natural History,"$500,000",2013,500000,500000
DONOR,"The Richard S. and Karen LeFrak Charitable Foundation",33,American Museum of Natural History,"$500,000",2013,500000,500000
DONOR,"The Dalio Foundation",34,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"Christopher C. Davis,",35,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"Shelby Cullom Davis Charitable Fund",36,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"Dr. Kathryn W. Davis*",37,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"Louis V. Gerstner, Jr.,",38,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"Gerstner Family Foundation",39,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"David S. and Ruth L. Gottesman,",40,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"The Gottesman Fund",41,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"David H. Koch",42,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"Mr. Richard S. LeFrak,",43,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"The Richard S. and Karen LeFrak",44,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"Charitable Foundation, Inc.",45,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"Susan S. and Kenneth L. Wallach Foundation",46,American Museum of Natural History,"$1,000,000",2014,1000000,1000000
DONOR,"Sibyl R. Golden",47,American Museum of Natural History,"$500,000",2014,500000,500000
DONOR,"Linda R. and William E. Macaulay",48,American Museum of Natural History,"$500,000",2014,500000,500000
DONOR,"Stavros Niarchos Foundation",49,American Museum of Natural History,"$500,000",2014,500000,500000
DONOR,"Panthera Corporation",50,American Museum of Natural History,"$500,000",2014,500000,500000
DONOR,"The Carroll and Milton Petrie Foundation",51,American Museum of Natural History,"$500,000",2014,500000,500000
DONOR,"Drs. Marilyn and James H. Simons",52,American Museum of Natural History,"$500,000",2014,500000,500000
DONOR,"brigitte nyc",53,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Brooklyn Community Foundation",54,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Chase",55,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"The City of New York",56,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"The Irene Diamond Fund",57,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Dormitory Authority of the State of New York",58,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Estate of Richard B. Fisher",59,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Jeanne Donovan Fisher",60,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Judith R. & Alan H. Fishman",61,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"The Howard Gilman Foundation",62,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Goldman Sachs Gives",63,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"The Leona M. & Harry B. Helmsley Charitable Trust",64,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Diane & Adam E. Max",65,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"McKinsey & Company, Inc.",66,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"New York City Council",67,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"New York City Department of Cultural Affairs",68,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"New York City Economic Development Corporation",69,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Martha A. & Robert S. Rubin",70,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Office of the Brooklyn Borough President",71,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"The Peter Jay Sharp Foundation",72,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"The SHS Foundation",73,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Ronald P. Stanton/The Delancey Foundation",74,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"The Starr Foundation",75,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"United States Department of State, Bureau of Educational and Cultural Affairs",76,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"Anonymous",77,Brooklyn Academy of Music,"$500,000",2012-2013,500000,500000
DONOR,"brigitte nyc",78,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"Brooklyn Borough President’s Office—Eric Adams",79,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"Brooklyn Community Foundation",80,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"The City of New York—Bill de Blasio, Mayor",81,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"Aashish & Dinyar Devitre",82,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"The Irene Diamond Fund",83,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"Judith R. & Alan H. Fishman",84,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"Ford Foundation",85,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"The Howard Gilman Foundation",86,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"Goldman Sachs Gives",87,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"Goldman Sachs Gives at the recommendation of Anne Hubbard & Harvey Schwartz",88,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"Diane & Adam E. Max",89,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"The New York City Council—Brooklyn Delegation",90,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"The New York City Council—Melissa Mark-Viverito, Speaker",91,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"New York City Department of Cultural Affairs",92,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"New York City Economic Development Corporation",93,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"Jonathan F.P. & Diana Calthorpe Rose",94,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"Martha A. & Robert S. Rubin",95,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"The Peter Jay Sharp Foundation",96,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"The SHS Foundation",97,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
DONOR,"United States Department of State, Bureau of Educational and Cultural Affairs",98,Brooklyn Academy of Music,"$500,000",2013-2014,500000,500000
